Evidence ID	Method	Claim scope	Audit version	Evidence type	Primary source	Locator or section	Source URL	Accessed
E011	scCube	Version, license, API, pretrained models, coordinate modes and examples	2.0.1	Tagged software	scCube GitHub release and repository	v2.0.1 release; README; tutorial links	https://github.com/ZJUFanLab/scCube/releases/tag/v2.0.1	2026-07-23
E012	scCube	Reference-based optimal-transport mapping and reference-free spatial patterns	2.0.1	Primary documentation	scCube documentation	Reference-based and reference-free simulation tutorials	https://scCube.readthedocs.io/	2026-07-23
E020	scDesign3	Version, license, inputs, spatial covariates, distributions, copula, ncell, R API	1.10.0	Release manual	scDesign3 Bioconductor manual	Package header; construct_data; fit_marginal; fit_copula; scdesign3	https://www.bioconductor.org/packages/release/bioc/manuals/scDesign3/man/scDesign3.pdf	2026-07-23
E021	scDesign3	Unified probabilistic framework, fitted parameters, controls and reproducibility	1.10.0	Peer-reviewed article	scDesign3 article	Abstract; methods; code availability	https://doi.org/10.1038/s41587-023-01772-1	2026-07-23
E022	scDesign3	Bioconductor distribution and source resources	1.10.0	Release page	scDesign3 Bioconductor page	Package details; source; vignettes	https://bioconductor.org/packages/release/bioc/html/scDesign3.html	2026-07-23
E030	SRTsim	Reference modes, coordinate generation, domains, output object, distributions, scale and Shiny interface	0.99.7	Peer-reviewed article	SRTsim article	Figure 1; methods; performance; discussion; availability	https://doi.org/10.1186/s13059-023-02879-z	2026-07-23
E031	SRTsim	Version, license, R package and interface	0.99.7	Release manual	SRTsim CRAN manual	Package header; createSRT; model families	https://cran.r-project.org/web/packages/SRTsim/SRTsim.pdf	2026-07-23
E032	SRTsim	Versioned code and analysis archive	Zenodo v1	Versioned archive	SRTsim Zenodo archive	Source code and analysis files	https://doi.org/10.5281/zenodo.7592392	2026-07-23
E040	scMultiSim	Mechanistic multi-omic simulation, ground truth, spatial examples and demonstrated scale	1.8.0	Peer-reviewed article	scMultiSim article	Framework; spatial CCI; applications; code availability	https://doi.org/10.1038/s41592-025-02651-0	2026-07-23
E041	scMultiSim	2-D layouts, custom coordinates, spatial domains, CCI parameters, outputs and R workflow	1.8.0	Release vignette	scMultiSim spatial CCI vignette	Spatial layouts; CCI configuration; result object	https://bioconductor.org/packages/release/bioc/vignettes/scMultiSim/inst/doc/spatialCCI.html	2026-07-23
E042	scMultiSim	Version, license, R package, vignettes and Shiny resources	1.8.0	Release page	scMultiSim Bioconductor page	Package details; documentation; source	https://bioconductor.org/packages/release/bioc/html/scMultiSim.html	2026-07-23
E050	sCCIgen	Input scenarios, coordinate generation, regions/types, co-localization, molecular model, CCI truth and outputs	1.0	Peer-reviewed article	sCCIgen article	Overview; methods; simulations; availability	https://doi.org/10.1186/s13059-025-03762-9	2026-07-23
E051	sCCIgen	API, 2-D coordinates, parameter fitting, output byproducts and Docker	1.0	Primary documentation	sCCIgen documentation	Simulation workflow; functions; Docker installation	https://songxiaoyu.github.io/sCCIgen/	2026-07-23
E052	sCCIgen	Version and archived reproducibility resources	1.0	Versioned archive	sCCIgen Zenodo v1.0	Software and analysis archive	https://zenodo.org/records/15832711	2026-07-23
E060	Spider	Neighborhood-transition simulation, 2-D/3-D coordinate generation, patterns, cell/spot outputs, repeated simulations and article claims	1.1.0	Peer-reviewed article	Spider article	Methods 2.1 (2-D/3-D Uniform coordinates); simulation scenarios; performance	https://doi.org/10.1093/bioinformatics/btaf562	2026-07-23
E061	Spider	Version, license, API, expression backends and reported one-million-cell runtime	1.1.0	Release page	st-spider PyPI page	Project description; release history; examples	https://pypi.org/project/st-spider/	2026-07-23
E062	Spider	Current source, supplied/generated coordinates, zones, transition matrices and optional Napari interface	1.1.0	Primary source	Spider GitHub repository	README and API examples	https://github.com/YANG-ERA/Spider	2026-07-23
E070	scSpatialSIM	Point-pattern scope, tissue simulation, co-localization and output use cases	0.1.4	Peer-reviewed article	scSpatialSIM article	Abstract; methods; use cases	https://pmc.ncbi.nlm.nih.gov/articles/PMC13021152/	2026-07-23
E071	scSpatialSIM	Version, license, dependencies and R distribution	0.1.4	Release page	scSpatialSIM CRAN page	Package metadata; manuals; vignettes	https://cran.r-project.org/package=scSpatialSIM	2026-07-23
E072	scSpatialSIM	2-D point patterns, categorical/continuous attributes, tissue objects and reproducible examples	0.1.4	Primary documentation	scSpatialSIM documentation	Introduction; continuous attributes; function reference	https://fridleylab.github.io/scSpatialSIM/	2026-07-23
